施設、場所、イベントの名称,施設、場所、イベントの名称（読み）,ジャンル,キャッチコピー,説明文,経度（世界測地系）,緯度（世界測地系）,郵便番号,住所,ビル名,フロア数,電話番号,FAX番号,アクセス,予算,定員、収容人数,定員、収容人数コメント,取扱商品、メニュー、プラン,取扱商品、メニュー、プラン 料金,取扱商品、メニュー、プラン 写真ファイル名,取扱商品、メニュー、プラン 写真キャプション,写真ファイル名,写真キャプション,ホームページURL（PC）,ホームページURL（モバイル）,支払方法,ペット同伴の可・不可,コピーライト・情報提供元,注意事項,その他説明、備考
千葉市 おゆみ野どうのうしろ公園,オユミノドウノウシロコウエン,,,,140.17572,35.543973,,千葉市緑区おゆみ野南６丁目４６,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 おゆみ野きなだ公園,オユミノキナダコウエン,,,,140.166221,35.559332,,千葉市緑区おゆみ野有吉１３,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 おゆみ野しのぼり公園,オユミノシノボリコウエン,,,,140.173441,35.551826,,千葉市緑区おゆみ野中央４丁目２０,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 大椎第１公園,オオジイダイ１コウエン,,,,140.258177,35.531277,,千葉市緑区大椎町１２５１－３１６,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 越智東公園,オチヒガシコウエン,,,,140.238436,35.53744,,千葉市緑区越智町７７０－６９,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 越智新田公園,オチシンデンコウエン,,,,140.240173,35.539139,,千葉市緑区越智町１７０１－１０,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 古市場第１公園,フルイチバダイ１コウエン,,,,140.146204,35.548493,,千葉市緑区古市場町４７４－１８９,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 刈田子公園,カリタゴコウエン,,,,140.163126,35.54598,,千葉市緑区刈田子町３９４－１,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 平川公園,ヒラカワコウエン,,,,140.247664,35.55413,,千葉市緑区平川町１１３８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘あけぼの公園,アスミガオカアケボノコウエン,,,,140.262626,35.524451,,千葉市緑区あすみが丘４丁目２０,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘あすなろ公園,アスミガオカアスナロコウエン,,,,140.270547,35.525087,,千葉市緑区あすみが丘２丁目２９,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘ねむのき公園,アスミガオカネムノキコウエン,,,,140.266998,35.527939,,千葉市緑区あすみが丘３丁目２８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 越智南公園,オチミナミコウエン,,,,140.235147,35.532041,,千葉市緑区越智町７０５－４９８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 古市場第２公園,フルイチバダイ２コウエン,,,,140.144726,35.549426,,千葉市緑区古市場町４７４－２０５,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘やまもも公園,アスミガオカヤマモモコウエン,,,,140.260036,35.513855,,千葉市緑区あすみが丘６丁目６８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 大椎第２公園,オオジイダイ２コウエン,,,,140.25802,35.529247,,千葉市緑区大椎町１２５１－１２２,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 高津戸第５公園,タカツドダイ５コウエン,,,,140.261212,35.53302,,千葉市緑区高津戸町２９－８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 大椎第３公園,オオジイダイ３コウエン,,,,140.256757,35.526419,,千葉市緑区大椎町１１８８－１９０,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘けやき公園,アスミガオカケヤキコウエン,,,,140.266333,35.51594,,千葉市緑区あすみが丘７丁目４９,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘かしのき公園,アスミガオカカシノキコウエン,,,,140.261253,35.52972,,千葉市緑区あすみが丘５丁目１７,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田１丁目公園,ホンダ１チョウメコウエン,,,,140.195137,35.548449,,千葉市緑区誉田町１丁目７９８－８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 鎌取第１公園,カマトリダイ１コウエン,,,,140.174925,35.56644,,千葉市緑区おゆみ野２丁目１,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 大木戸第２公園,オオキドダイ２コウエン,,,,140.255484,35.528238,,千葉市緑区大木戸町１０４－２５,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田公園,ホンダコウエン,,,,140.209377,35.55091,,千葉市緑区誉田町２丁目２１－９１０,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘はなみずき公園,アスミガオカハナミズキコウエン,,,,140.270514,35.51963,,千葉市緑区あすみが丘８丁目７,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 高津戸第１公園,タカツドダイ１コウエン,,,,140.263581,35.53342,,千葉市緑区高津戸町２－２,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘しいのき公園,アスミガオカシイノキコウエン,,,,140.271014,35.528376,,千葉市緑区あすみが丘１丁目１２,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘くすのき公園,アスミガオカクスノキコウエン,,,,140.263208,35.5088,,千葉市緑区あすみが丘９丁目５０,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘さくら公園,アスミガオカサクラコウエン,,,,140.256269,35.522801,,千葉市緑区あすみが丘５丁目５８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田清水台第２公園,ホンダシミズダイダイ２コウエン,,,,140.195405,35.546093,,千葉市緑区誉田１丁目８４３－１３,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田清水台第１公園,ホンダシミズダイダイ１コウエン,,,,140.198917,35.544443,,千葉市緑区誉田２丁目９１－１,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 越智宇土下公園,オチウドシタコウエン,,,,140.235057,35.536807,,千葉市緑区越智町１７０１－３０６,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘ゆりのき公園,アスミガオカユリノキコウエン,,,,140.266895,35.519636,,千葉市緑区あすみが丘７丁目３,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 古市場第３公園,フルイチバダイ３コウエン,,,,140.147974,35.546407,,千葉市緑区古市場町４７４－６１,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 越智古坂台公園,オチコサカダイコウエン,,,,140.234577,35.533573,,千葉市緑区越智町７０５－１５９,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田下宿公園,ホンダシモジュクコウエン,,,,140.199709,35.551945,,千葉市緑区誉田町１丁目１０４２番７他,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 あすみが丘もみじ公園,アスミガオカモミジコウエン,,,,140.266548,35.531423,,千葉市緑区あすみが丘１丁目３２,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 高津戸第２公園,タカツドダイ２コウエン,,,,140.2636,35.535595,,千葉市緑区高津戸町２－２３,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田町２丁目第３公園,ホンダチョウ２チョウメダイ３コウエン,,,,140.210573,35.545766,,千葉市緑区誉田町２丁目６－６７,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 南鎌取公園,ミナミカマトリコウエン,,,,140.171709,35.565441,,千葉市緑区鎌取町２８１２－４０,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 高津戸第３公園,タカツドダイ３コウエン,,,,140.259347,35.5346,,千葉市緑区高津戸町４５－１１７,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 高津戸南第１公園,タカツドミナミダイ１コウエン,,,,140.262039,35.533017,,千葉市緑区高津戸町２１－２０,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 土気第１公園,トケダイ１コウエン,,,,140.273658,35.532163,,千葉市緑区土気町１５８４－８０,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 土気第２公園,トケダイ２コウエン,,,,140.268336,35.5336,,千葉市緑区土気町１６２０－２２,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 おゆみ野ゆずりは公園,オユミノユズリハコウエン,,,,140.168113,35.547589,,千葉市緑区おゆみ野南３－２１－５７,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 椎名崎町公園,シイナザキチョウコウエン,,,,140.155843,35.550688,,千葉市緑区椎名崎町１４３－７,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田２丁目第２公園,ホンダ２チョウメダイ２コウエン,,,,140.214616,35.547074,,千葉市緑区誉田町２丁目２４－３２０,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 高津戸第４公園,タカツドダイ４コウエン,,,,140.264676,35.533849,,千葉市緑区高津戸町２－２６３,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 おゆみ野南１丁目第１公園,オユミノミナミ１チョウメダイ１コウエン,,,,140.162457,35.55155,,千葉市緑区おゆみ野南１丁目３１－１７９,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 おゆみ野南１丁目第２公園,オユミノミナミ１チョウメダイ２コウエン,,,,140.163991,35.551024,,千葉市緑区おゆみ野南１丁目３１－１７８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 万花台公園,マンカダイコウエン,,,,140.221652,35.552418,,千葉市緑区高田町１０６３－１４,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 二塚公園,フタツカコウエン,,,,140.266051,35.52908,,千葉市緑区あすみが丘３丁目４６－１,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田町２丁目第５公園,ホンダチョウ２チョウメダイ５コウエン,,,,140.206736,35.547304,,千葉市緑区誉田町２丁目２３０７－２４７他,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田町２丁目第６公園,ホンダチョウ２チョウメダイ６コウエン,,,,140.215676,35.551023,,千葉市緑区誉田町２丁目２１－１３４３,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 大滝公園,オオタキコウエン,,,,140.215385,35.541546,,千葉市緑区誉田町３丁目８０－１６,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田町１丁目第３公園,ホンダチョウ１チョウメダイ３コウエン,,,,140.196343,35.547948,,千葉市緑区誉田町１丁目７９５－５３,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 土気第３公園,トケダイ３コウエン,,,,140.278036,35.530175,,千葉市緑区土気町２９９－７,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 中芝公園,ナカシバコウエン,,,,140.212615,35.552259,,千葉市緑区高田町４０１－１７４,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 土気もみじヶ丘公園,トケモミジガオカコウエン,,,,140.278362,35.537612,,千葉市緑区土気町１４１７－５１,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 古市場第４公園,フルイチバダイ４コウエン,,,,140.144348,35.54853,,千葉市緑区古市場町６８５－４,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 古市場第５公園,フルイチバダイ５コウエン,,,,140.149985,35.544986,,千葉市緑区古市場町４５５－１８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 古市場第６公園,フルイチバダイ６コウエン,,,,140.151416,35.545899,,千葉市緑区古市場町４４２－３８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田町１丁目第２公園,ホンダチョウ１チョウメダイ２コウエン,,,,140.19633,35.549731,,千葉市緑区誉田町１丁目７６９－５８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田町３丁目第２公園,ホンダチョウ３チョウメダイ２コウエン,,,,140.213789,35.54044,,千葉市緑区誉田町３丁目９８－２４,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 鎌取第２公園,カマトリダイ２コウエン,,,,140.172027,35.564701,,千葉市緑区おゆみ野２丁目１－６，７,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 辺田町三角公園,ﾍﾀﾁｮｳｻﾝｶｸｺｳｴﾝ,,,,140.178207,35.567887,,千葉市緑区辺田町１００－４８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 鎌取第３公園,ｶﾏﾄﾘﾀﾞｲｻﾝｺｳｴﾝ,,,,140.17266,35.568219,,千葉市緑区鎌取町１２１－２６他,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田町２丁目東第２公園,ホンダチョウ２チョウメヒガシダイ２コウエン,,,,140.224092,35.547396,,千葉市緑区誉田町２丁目１６番４,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 鎌取第５公園,カマトリダイ５コウエン,,,,140.171141,35.567265,,千葉市緑区鎌取町１２３－４９他,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 刈田子第１公園,カリタゴダイ１コウエン,,,,140.164308,35.548061,,千葉市緑区刈田子町１４－６,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 辺田町第１公園,ヘタチョウダイ１コウエン,,,,140.181239,35.567243,,千葉市緑区辺田町１２７－７３,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 鎌取第４公園,カマトリダイ４コウエン,,,,140.170316,35.566264,,千葉市緑区鎌取町２８０８－６０,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田町２丁目東第７公園,ホンダチョウ２チョウメヒガシダイ７コウエン,,,,140.220389,35.546558,,千葉市緑区誉田町２丁目２０－８１８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 高田第３公園,タカダダイ３コウエン,,,,140.213815,35.551914,,千葉市緑区高田町４０３－６５,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田町２丁目東第１公園,ホンダチョウ２チョウメヒガシダイ１コウエン,,,,140.22105,35.548489,,千葉市緑区誉田町２丁目２０－７６１,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 鎌取清水台公園,カマトリシミズダイコウエン,,,,140.173694,35.568311,,千葉市緑区鎌取町１１８－４５,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 鎌取越戸公園,カマトリコシドコウエン,,,,140.180622,35.565016,,千葉市緑区鎌取町,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田大塚台公園,ホンダオオツカダイコウエン,,,,140.201657,35.550966,,千葉市緑区誉田町１丁目１３８番７２,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 おゆみ野南公園,オユミノミナミコウエン,,,,140.168692,35.546364,,千葉市緑区おゆみ野南３丁目２０,,,043-294-2884,,"【電車利用の場合】<BR>
おゆみ野地区の北側にJR外房線「鎌取駅」、接西端には京成千原線が通　っており、地区内に「学園前駅」「おゆみ野駅」が開設されています。<BR>

【マイカー利用の場合】<BR>
おゆみ野地区は、京葉道路蘇我インターチェンジから約５分、千葉東金道路大宮インターチェンジから約５分です。",,,,,,,,,,,,,,,,
千葉市 おゆみ野はるのみち公園,オユミノハルノミチコウエン,,,,140.165056,35.561642,,千葉市緑区おゆみ野１丁目５４,,,043-294-2884,,"【電車利用の場合】<BR>
おゆみ野地区の北側にJR外房線「鎌取駅」、接西端には京成千原線が通　っており、地区内に「学園前駅」「おゆみ野駅」が開設されています。",,,,,,,,,,,,,,,,
千葉市 おゆみ野なつのみち公園,オユミノナツノミチコウエン,,,,140.18752,35.551816,,千葉市緑区おゆみ野５丁目５５,,,043-294-2884,,"【電車利用の場合】<BR>
おゆみ野地区の北側にJR外房線「鎌取駅」、接西端には京成千原線が通　っており、地区内に「学園前駅」「おゆみ野駅」が開設されています。",,,,,,,,,,,,,,,,
千葉市 おゆみ野あきのみち公園,オユミノアキノミチコウエン,,,,140.179679,35.545361,,千葉市緑区おゆみ野南６丁目１,,,043-294-2884,,"【電車利用の場合】<BR>
おゆみ野地区の北側にJR外房線「鎌取駅」、接西端には京成千原線が通　っており、地区内に「学園前駅」「おゆみ野駅」が開設されています。",,,,,,,,,,,,,,,,
千葉市 あすみが丘ふれあいの広場公園,アスミガオカフレアイノヒロバコウエン,,,,140.263653,35.521008,,千葉市緑区あすみが丘６丁目１,,,043-294-2884,,"【電車利用の場合】<BR>
ＪＲ外房線土気駅下車、南口よりバス

【バス利用の場合】<BR>
●ＪＲ外房線土気駅南口から千葉中央バス「土気駅（あすみ大通り経由）大椎町南」行き「あすみが丘プラザ」下車",,,,,,,,,,,,,,,,
千葉市 おゆみ野さくら公園,オユミノサクラコウエン,,,,140.172478,35.560397,,千葉市緑区おゆみ野２丁目４２,,,043-294-2884,,"【電車利用の場合】<BR>
おゆみ野地区の北側にJR外房線「鎌取駅」、接西端には京成千原線が通　っており、地区内に「学園前駅」「おゆみ野駅」が開設されています。",,,,,,,,,,,,,,,,
千葉市 越智中央公園,オチチュウオウコウエン,,,,140.237512,35.534607,,千葉市緑区越智町８１０－７,,,043-294-2884,,"【電車利用の場合】<BR>
ＪＲ外房線誉田駅南口下車、南口よりバス

【バス利用の場合】<BR>
●ＪＲ外房線誉田土気駅北口から千葉中央バス「誉田駅（村境経由）越智はなみずき台」行き「団地内バス停で適宜」下車、徒歩約３００ｍ",,,,,,,,,,,,,,,,
千葉市 誉田さくら公園,ホンダサクラコウエン,,,,140.21497,35.549499,,千葉市緑区誉田町２丁目２１－１２０１他,,,043-294-2884,,"【電車利用の場合】<BR>
ＪＲ外房線誉田駅北口下車、徒歩約３００ｍ",,,,,,,,,,,,,,,,
千葉市 あすみが丘やすらぎの広場公園,アスミガオカヤスラギノヒロバコウエン,,,,140.26448,35.511973,,千葉市緑区あすみが丘９丁目１３,,,043-294-2884,,"【電車利用の場合】<BR>
ＪＲ外房線土気駅下車、南口よりバス<BR>

【バス利用の場合】<BR>
●ＪＲ外房線土気駅南口から千葉中央バス「土気駅（あすみ大通り経由）大椎町南」行き「やすらぎの広場」下車",,,,,,,,,,,,,,,,
千葉市 あすみが丘ほほえみの広場公園,アスミガオカホホエミノヒロバコウエン,,,,140.26627,35.524447,,千葉市緑区あすみが丘４丁目１３,,,043-294-2884,,"【電車利用の場合】<BR>
ＪＲ外房線土気駅下車、南口よりバス<BR>

【バス利用の場合】<BR>
●ＪＲ外房線土気駅南口から千葉中央バス「土気駅（あすみ大通り経由）大椎町南」行き「あすみが丘プラザ」下車",,,,,,,,,,,,,,,,
千葉市 古市場公園,フルイチバコウエン,,,,140.147081,35.549124,,千葉市緑区古市場町４７４－３２８他,,,043-294-2884,,"【電車・バス利用の場合】<BR>
JR内房線浜野駅より小湊バスで喜多行、菊間団地行、アウトレットコンサート長柄行、鎌取駅行、和楽の郷行、ちはら台駅行「スーパーせんどう前」下車徒歩5分<BR>

JR総武線千葉駅またはJR京葉線・内房線・外房線蘇我駅東入口より小湊バスで農業センター行または落合椎名行「椎名崎新田」下車徒歩12分",,,,,,,,,,,,,,,,
千葉市 辺田町大角公園,ヘタチョウタイカクコウエン,,,,140.179303,35.566411,,千葉市緑区辺田町１２０－５,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 北河原坂団地内公園,キタカワラザカダンチナイコウエン,,,,140.26669,35.52575,,千葉市緑区あすみが丘３丁目６４－２２,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 北河原団地第２公園,キタカワラダンチダイ２コウエン,,,,140.267372,35.525314,,千葉市緑区あすみが丘６４－２３,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 下大和田公園,シモオオワダコウエン,,,,140.274378,35.559381,,千葉市緑区下大和田町１７８－２,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 高田公園,タカダコウエン,,,,140.229007,35.552199,,千葉市緑区高田町２２６６－２３,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 高田第２公園,タカダダイ２コウエン,,,,140.231839,35.545093,,千葉市緑区高田町２２９７－４２,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 大膳野公園,ダイゼンノコウエン,,,,140.1999,35.542731,,千葉市緑区大膳野町４－３６８,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 土気中峠公園,トケナカビョウコウエン,,,,140.27819,35.534463,,千葉市緑区土気町６７５,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 辺田町南公園,ヘタチョウミナミコウエン,,,,140.18168,35.569868,,千葉市緑区平山町２０２５－３他,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 誉田南公園,ホンダミナミコウエン,,,,140.19966,35.548708,,千葉市緑区誉田町１丁目,,,043-294-2884,,"【電車利用の場合】<BR>
ＪＲ外房線誉田駅北口下車、北口よりバス<BR>

【バス利用の場合】<BR>
●ＪＲ外房線誉田土気駅北口から千葉中央バス「千葉駅（誉田駅経由）大網駅」行き「誉田局」下車、徒歩約３００ｍ",,,,,,,,,,,,,,,,
千葉市 越智第１緑地,オチダイイチリョクチ,,,,140.235767,35.534271,,千葉市緑区越智町８２２－３６他,,,043-245-5776,,,,,,,,,,,,,,,,,,
千葉市 越智第２緑地,オチダイニリョクチ,,,,140.238182,35.533567,,千葉市緑区越智町７７０－１３１他,,,043-245-5776,,,,,,,,,,,,,,,,,,
千葉市 越智第３緑地,オチダイサンリョクチ,,,,140.232806,35.531566,,千葉市緑区越智町７０５－５４４,,,043-245-5776,,,,,,,,,,,,,,,,,,
千葉市 おゆみ野の森,オユミノノモリ,,,,140.159257,35.559548,,千葉市緑区おゆみ野中央１丁目１２番２,,,043-245-5776,,"京成電鉄千原線「学園前駅」より約0.3km<BR>

ＪＲ千葉駅より小湊バス「鎌取駅」行きで「学園駅前」下車、約0.3km",,,,,,,,,,,,,,,,
千葉市 昭和の森,ショウワノモリ,,,,140.280334,35.517634,,千葉市緑区土気町２２,,,043-294-2884,,,,,,,,,,,,,,,,,,
千葉市 大百池公園,オオドイケコウエン,,,,140.158875,35.555787,,千葉市緑区おゆみ野中央２丁目２他,,,043-294-2884,,"【電車利用の場合】<BR>
京成電鉄千原線学園駅前下車、南より徒歩５分

【バス利用の場合】
●ＪＲ外房線鎌取駅南口から小湊バス「千葉駅（蘇我駅東口経由）」行き「北生実」下車徒歩10分

【マイカー利用の場合】
京葉道路蘇我ＩＣからおゆみ野方面に向かい、市道浜野町大金沢町駅にある案内看板を目印に進入",,,,,,,,,,,,,,,,
千葉市 創造の杜,ソウゾウノモリ,,,,140.257994,35.524703,,千葉市緑区あすみが丘５丁目４１,,,043-294-2884,,"【電車利用の場合】<BR>
ＪＲ外房線土気駅下車、南口より徒歩30分<BR>

【バス利用の場合】<BR>
●ＪＲ外房線土気駅南口から千葉中央バス「土気駅（創造の杜経由）大椎町南」行き「創造の杜」下車",,,,,,,,,,,,,,,,
千葉市 泉谷公園,イズミヤコウエン,,,,140.178165,35.553871,,千葉市緑区おゆみ野中央６丁目１１,,,043-294-2884,,"【電車利用の場合】<BR>
ＪＲ外房線鎌取駅下車、徒歩約20分

【バス利用の場合】<BR>
●ＪＲ外房線鎌取駅から「千原台」行き「泉谷公園前」下車<BR>

【マイカー利用の場合】<BR>
東京方面からは、千葉東金道路「大宮インター」で下り、県道千葉大網線へ、更に大網方面へ向かい、JR鎌取駅前を過ぎ「おゆみ野入口」を右折し、約1.5キロメートル",,,,,,,,,,,,,,,,
千葉市 大野台中央公園,オオノダイチュウオウコウエン,,,,140.232001,35.51268,,千葉市緑区大野台１丁目６－２,,,043-294-2884,,"【電車利用の場合】<BR>
ＪＲ外房線土気駅下車、約４キロメートル<BR>

【バス利用の場合】<BR>
●バス路線なし<BR>

【マイカー利用の場合】<BR>
東京方面からは、千葉外房有料道路「大木戸インター」で下り、大木戸町土気町線へ",,,,,,,,,,,,,,,,
千葉市 有吉公園,アリヨシコウエン,,,,140.168273,35.556708,,千葉市緑区おゆみ野有吉３２,,,043-294-2884,,"【電車利用の場合】<BR>
ＪＲ外房線鎌取駅下車、徒歩約20分<BR>
京成電鉄千原線おゆみ野駅下車、徒歩15分<BR>

【マイカー利用の場合】<BR>
京葉道路蘇我インターからおゆみ野方面に向かい、市道磯辺茂呂町線沿い",,,,,,,,,,,,,,,,
千葉市 あすみが丘水辺の郷公園,アスミガオカミズベノサトコウエン,,,,140.271048,35.51332,,千葉市緑区あすみが丘８丁目４９－３,,,043-294-2884,,"【電車利用の場合】<BR>
ＪＲ外房線土気駅下車、南口よりバス<BR>

【バス利用の場合】<BR>
●ＪＲ外房線土気駅南口から千葉中央バス「土気駅（あすみ大通り経由）大椎町南」行き「あすみ大通り中央」下車、徒歩約500ｍ<BR>

【マイカー利用の場合】<BR>
東京方面からは、千葉東金道路「土気中野インター」で下り、土気停車場千葉中線で大網街道へ、更に大網方面へ、「土気高校入口」交差点を右折し約２ｋｍ",,,,,,,,,,,,,,,,
千葉市 有吉貝塚公園,アリヨシカイヅカコウエン,,,,140.172261,35.557922,,千葉市緑区おゆみ野中央５丁目５,,,043-294-2884,,"【電車利用の場合】<BR>
おゆみ野地区の北側にJR外房線「鎌取駅」、接西端には京成千原線が通っており、地区内に「学園前駅」「おゆみ野駅」が開設されています。",,,,,,,,,,,,,,,,
千葉市 幸町１丁目公園,サイワイチョウ１チョウメコウエン,,,,140.099318,35.615584,,千葉市美浜区幸町１丁目１７,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 幸町１丁目第２公園,サイワイチョウ１チョウメダイ２コウエン,,,,140.09886,35.614529,,千葉市美浜区幸町１丁目１４,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 幸町１丁目第３公園,サイワイチョウ１チョウメダイ３コウエン,,,,140.099073,35.616141,,千葉市美浜区幸町１丁目２６－７,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 幸町１丁目第４公園,サイワイチョウ１チョウメダイ４コウエン,,,,140.103566,35.611599,,千葉市美浜区幸町１丁目３２－５,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 幸町２丁目公園,サイワイチョウ２チョウメコウエン,,,,140.093745,35.622335,,千葉市美浜区幸町２丁目１－１９,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 高浜第１公園,タカハマダイ１コウエン,,,,140.073883,35.61799,,千葉市美浜区高浜１丁目５,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 高浜第２公園,タカハマダイ２コウエン,,,,140.07531,35.619139,,千葉市美浜区高浜１丁目４,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 高浜第３公園,タカハマダイ３コウエン,,,,140.066596,35.626991,,千葉市美浜区高浜５丁目６,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 高浜第４公園,タカハマダイ４コウエン,,,,140.063622,35.62432,,千葉市美浜区高浜６丁目４,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 中高浜第１公園,ナカタカハマダイ１コウエン,,,,140.071509,35.622669,,千葉市美浜区高浜４丁目２,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 中高浜第２公園,ナカタカハマダイ２コウエン,,,,140.071861,35.623687,,千葉市美浜区高浜４丁目１,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 こじま公園,コジマコウエン,,,,140.074459,35.634494,,千葉市美浜区高洲４丁目２,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
千葉市 高洲１丁目公園,タカス１チョウメコウエン,,,,140.082764,35.626885,,千葉市美浜区高洲１丁目８,,,043-279-8440,043-278-6287,,,,,,,,,,,,,,,,,
